m_id,g_id
858,1
858,8
859,5
859,1
859,6
860,1
860,18
860,12
861,1
861,6
861,15
862,3
862,4
862,12
863,1
863,18
863,16
864,1
864,12
865,1
865,18
865,12
866,3
866,4
866,9
867,1
867,18
868,1
868,18
868,7
869,1
870,11
870,2
871,11
871,1
871,8
872,11
872,1
872,8
873,1
873,7
874,4
874,1
874,8
875,1
875,20
875,8
876,13
876,14
876,10
877,18
877,7
878,5
878,1
878,6
879,1
879,16
879,12
880,11
880,1
881,1
882,1
883,5
883,2
883,1
884,1
885,4
885,11
885,1
886,2
886,1
886,8
887,1
888,3
888,4
888,11
889,3
889,2
889,1
890,3
890,5
890,1
891,1
891,6
891,12
892,13
892,3
892,4
893,13
893,4
893,11
894,3
894,2
894,1
895,1
895,21
896,2
896,1
897,3
897,2
897,1
898,5
898,11
898,1
899,3
899,4
899,1
900,16
900,12
901,3
901,12
902,3
902,2
902,1
903,13
903,4
903,14
904,1
904,17
904,8
905,1
905,9
906,1
906,8
907,13
907,11
907,2
908,11
908,1
908,8
909,3
909,11
909,2
910,3
910,4
910,2
911,5
911,1
911,21
912,1
912,18
912,12
913,4
913,11
913,10
914,1
914,12
915,3
915,4
915,16
916,5
916,1
916,21
917,1
918,1
919,3
919,2
919,1
920,4
920,14
920,10
921,13
921,4
921,14
922,2
922,1
922,16
923,2
923,1
923,16
924,5
924,1
924,17
925,3
925,5
925,1
926,1
926,10
926,16
927,2
927,1
927,12
928,3
928,4
928,14
929,3
929,1
930,1
930,8
930,12
931,3
931,1
931,16
932,3
932,2
932,1
933,18
933,16
933,12
934,1
935,1
936,11
936,1
936,8
937,1
937,16
937,8
938,11
938,1
939,2
939,1
939,12
940,2
940,1
940,12
941,5
941,1
941,14
942,1
943,1
943,7
943,12
944,1
944,18
944,7
945,3
945,4
945,1
946,11
946,1
947,1
948,4
948,14
948,10
949,18
949,16
949,12
950,5
950,2
950,1
951,1
951,6
951,15
952,3
952,2
952,16
953,5
953,1
953,21
954,11
954,2
954,1
955,2
955,1
955,12
956,1
956,15
957,13
957,4
957,14
958,4
958,11
958,1
959,2
959,1
959,12
960,16
960,7
960,12
961,2
961,1
961,12
962,16
962,12
963,1
963,8
964,3
964,4
964,12
965,4
965,1
965,10
966,1
966,8
967,4
967,1
967,6
968,11
968,1
968,8
969,3
969,2
969,1
970,11
971,11
971,2
972,13
972,1
972,8
973,11
973,2
974,11
974,14
975,2
975,1
976,11
976,1
976,8
977,13
977,14
977,10
978,11
978,2
979,11
979,1
980,3
980,2
980,12
981,2
981,1
981,12
982,1
983,3
983,4
983,7
984,3
984,2
984,12
985,4
985,11
985,14
986,3
986,5
986,2
987,13
987,4
987,1
988,5
988,2
988,1
989,1
989,7
990,11
990,2
990,1
991,1
991,15
991,9
992,4
992,11
992,15
993,13
993,4
993,14
994,1
994,16
994,12
995,11
995,17
995,19
996,11
996,1
996,8
997,1
997,9
998,1
998,8
998,15
999,1
999,15
1000,2
1000,16
1000,12
