m_id,a_id
442,1285
442,1286
443,1288
443,1289
443,1290
444,371
444,918
444,1291
445,1292
445,1293
445,1294
446,261
446,1295
446,1296
447,565
447,1297
447,1298
448,1299
448,6
448,1252
449,166
449,1301
449,1302
450,1304
450,370
450,1305
451,108
451,1306
451,1307
452,1288
452,1309
452,256
453,1310
453,1311
453,1312
454,1313
454,1314
454,1315
455,1316
455,1314
455,906
456,375
456,1317
456,1318
457,166
457,1319
457,1320
458,16
458,1321
458,1322
459,946
459,1323
459,1324
460,1325
460,1326
460,1327
461,1329
461,1316
461,1330
462,1332
462,1333
462,1334
463,1336
463,1337
463,1338
464,1094
464,201
464,1019
465,404
465,1341
465,1342
466,1344
466,1345
466,1346
467,1348
467,123
467,1349
468,1351
468,1352
468,1353
469,1083
469,1355
469,1356
470,1357
470,1358
470,36
471,806
471,1360
471,1361
472,21
472,267
472,1363
473,1365
473,1366
473,1367
474,202
474,1368
474,1369
475,693
475,1371
475,1372
476,1373
476,1374
476,123
477,1021
477,1375
477,1376
478,1378
478,1379
478,1380
479,742
479,743
479,1381
480,634
480,22
480,122
481,1382
481,1130
481,1383
482,1385
482,1386
482,779
483,1134
483,1388
483,1372
484,802
484,1390
484,1391
485,13
485,7
485,53
486,1393
486,1394
486,1395
487,420
487,93
487,1397
488,1399
488,1400
488,1401
489,1403
489,1404
489,1405
490,1081
490,1406
490,1407
491,632
491,1409
491,1410
492,1411
492,1412
492,742
493,1414
493,1415
493,1416
494,1417
494,1418
494,1419
495,1420
495,684
495,480
496,1422
496,1423
496,1424
497,495
497,1425
497,1426
498,1428
498,1429
498,1430
499,1432
499,422
499,1433
500,1434
500,1435
500,1176
501,1436
501,1437
501,1438
502,1440
502,1441
502,1442
503,200
503,1444
503,1445
504,1419
504,1447
504,1448
505,1450
505,1451
505,1452
506,1453
506,2
506,1454
507,705
507,706
507,707
508,1456
508,781
508,782
509,1458
509,1459
509,641
510,1461
510,1462
510,1463
511,1465
511,1466
511,1467
512,1468
512,85
512,1469
513,459
513,1471
513,1472
514,1136
514,1473
514,673
515,1118
515,1475
515,1476
516,1477
516,1478
516,1479
517,1480
517,753
517,40
518,1481
518,1136
518,1482
519,1484
519,1485
519,1486
520,1488
520,1489
520,1490
521,1492
521,1412
521,1493
522,1494
522,1495
522,743
523,1497
523,1498
523,1499
524,7
524,1453
524,1500
525,1115
525,1501
525,1502
526,478
526,1503
526,1504
527,1505
527,1225
527,1506
528,1189
528,527
528,13
529,1248
529,1502
529,494
530,1507
530,1508
530,13
531,1509
531,1510
531,1511
532,1513
532,1514
532,1515
533,1517
533,1518
533,1519
534,1225
534,1226
534,1520
535,1228
535,1522
535,1523
536,1525
536,1526
536,1527
537,1201
537,359
537,1529
538,1531
538,1532
538,1533
539,1534
539,1535
539,1536
540,1537
540,1538
540,1539
541,844
541,1540
541,1541
542,1250
542,1542
542,1543
543,250
543,922
543,1544
544,261
544,1546
544,1547
545,1548
545,1549
545,1550
546,369
546,1552
546,96
547,1553
547,1554
547,1555
548,375
548,1297
548,1556
549,1558
549,1559
549,163
550,256
550,941
550,1560
551,1562
551,1563
551,1564
552,1390
552,1566
552,1567
553,912
553,1569
553,595
554,900
554,1570
554,164
555,1571
555,1318
555,1572
556,1574
556,259
556,1575
557,1307
557,1576
557,1577
558,108
558,1579
558,1580
559,1582
559,1583
559,1584
560,375
560,167
560,944
561,166
561,1127
561,1585
562,585
562,1586
562,1587
563,375
563,1552
563,108
564,375
564,1589
564,1590
565,1591
565,1592
565,1593
566,1595
566,1596
566,1597
567,1599
567,1600
567,1601
568,1579
568,1603
568,1604
569,1605
569,1606
569,1607
570,74
570,1608
570,1609
571,1610
571,408
571,1611
572,1613
572,1614
572,1615
573,1043
573,1044
573,1616
574,1617
574,1618
574,1619
575,1621
575,1622
575,1623
576,1625
576,1037
576,1626
577,1628
577,1629
577,1630
578,632
578,1610
578,1409
579,696
579,1633
579,74
580,404
580,1634
580,699
581,1636
581,1637
581,1638
582,1640
582,1641
582,1642
583,1644
583,1645
583,1646
584,199
584,201
584,200
585,26
585,836
585,1647
586,1649
586,706
586,1650
587,1652
587,1653
587,1654
588,1656
588,1657
588,1658
589,1386
589,1393
589,1659
590,1661
590,1662
590,1663
591,422
591,978
591,450
592,274
592,1666
592,1667
593,1669
593,1670
593,1671
594,1673
594,681
594,1656
595,1675
595,1433
595,1676
596,1677
596,1678
596,1679
597,40
597,327
597,1681
598,1034
598,1682
598,1683
599,1684
599,1685
599,537
600,722
600,1369
600,723
601,10
601,1687
601,983
602,1689
602,1690
602,1691
603,1693
603,224
603,1694
604,1094
604,989
604,1259
605,40
605,1695
605,1696
606,739
606,1698
606,1699
607,1701
607,1702
607,1703
608,1704
608,739
608,1705
609,1707
609,625
609,1708
610,22
610,1709
610,1710
611,1711
611,1712
611,1713
612,1715
612,1716
612,1717
613,1719
613,1720
613,1721
614,282
614,283
614,1722
615,1481
615,10
615,1021
616,28
616,1725
616,1726
617,1728
617,1729
617,1730
618,1731
618,1732
618,1733
619,1709
619,22
619,1710
620,1734
620,1735
620,1736
621,1013
621,1738
621,1164
622,983
622,1740
622,1357
623,1741
623,129
623,673
624,663
624,1742
624,241
625,315
625,1744
625,300
626,1745
626,1746
626,1747
627,1749
627,1687
627,717
628,1419
628,1447
628,1709
629,35
629,1369
629,1750
630,474
630,1110
630,492
631,1145
631,282
631,1753
632,1013
632,1754
632,1164
633,96
633,1756
633,1757
634,1758
634,1759
634,1760
635,1761
635,1762
635,673
636,112
636,1763
636,994
637,1765
637,1766
637,1767
638,1769
638,562
638,681
639,206
639,1770
639,1771
640,1773
640,1774
640,1775
641,1777
641,1778
641,1779
642,1780
642,1693
642,67
643,1782
643,227
643,1783
644,742
644,1784
644,1785
645,1741
645,1787
645,1788
646,1789
646,1790
646,1791
647,1792
647,1793
647,1794
648,40
648,1795
648,1796
649,827
649,1798
649,1799
650,129
650,7
650,1259
651,693
651,1469
651,807
652,1802
652,1803
652,1804
653,31
653,304
653,1805
654,1807
654,1808
654,1809
655,742
655,25
655,1811
656,1812
656,1813
656,1453
657,1814
657,1815
657,1816
658,1115
658,1505
658,1817
659,1115
659,31
659,1818
660,1820
660,836
660,520
661,1822
661,1823
661,1824
662,96
662,1826
662,1827
663,1729
663,1828
663,1816
664,56
664,730
664,1830
665,13
665,136
665,1832
666,1834
666,1835
666,1836
667,1789
667,781
667,1838
668,1501
668,1769
668,1840
669,801
669,1841
669,1842
670,1844
670,50
670,1845
671,8
671,1846
671,1138
672,13
672,320
672,1848
673,1849
673,1850
673,1851
674,143
674,1741
674,1207
675,1789
675,1852
675,1853
676,156
676,157
676,158
677,526
677,827
677,418
678,146
678,1854
678,1855
679,1857
679,1858
679,1859
680,143
680,1861
680,1862
681,1863
681,1864
681,90
682,1866
682,1867
682,1868
683,1869
683,1870
683,1871
684,1872
684,1873
684,1874
685,1876
685,1877
685,1878
686,1176
686,1518
686,241
687,1881
687,1882
687,507
688,13
688,1883
688,1884
689,1885
689,1886
689,1887
690,1201
690,1435
690,1889
691,713
691,1891
691,1881
692,44
692,1892
692,1893
693,527
693,494
693,1259
694,526
694,856
694,1894
695,1896
695,1897
695,1898
696,1899
696,1900
696,1901
697,240
697,1139
697,1555
698,1902
698,1903
698,1904
699,1232
699,1906
699,1907
700,1201
700,1909
700,1910
701,1297
701,1912
701,1913
702,570
702,1553
702,1552
703,1915
703,861
703,1916
704,1297
704,1917
704,1312
705,1258
705,1919
705,1920
706,1922
706,1923
706,1924
707,1925
707,1926
707,1927
708,1929
708,1930
708,1931
709,1932
709,1933
709,1934
710,1935
710,900
710,1936
711,166
711,390
711,1127
712,166
712,1127
712,1937
713,1938
713,393
713,1939
714,900
714,1940
714,1941
715,1942
715,1943
715,1944
716,1552
716,375
716,1945
717,1947
717,1948
717,1949
718,1596
718,1951
718,1597
719,1952
719,1953
719,1954
720,1949
720,1955
720,1947
721,1956
721,1957
721,1958
722,1960
722,1961
722,1962
723,1039
723,1867
723,1040
724,1965
724,1375
724,1966
725,1968
725,1969
725,1970
726,1134
726,1972
726,1973
727,1975
727,1976
727,1977
728,1979
728,1980
728,1979
729,1982
729,1983
729,1984
730,1719
730,1644
730,1986
731,1033
731,1988
731,26
732,1990
732,1991
732,1992
733,1994
733,1995
733,1614
734,680
734,1996
734,36
735,1998
735,1999
735,2000
736,2002
736,404
736,437
737,2004
737,2005
737,2006
738,199
738,201
738,26
739,669
739,2007
739,2008
740,2010
740,2011
740,2012
741,2014
741,2015
741,2016
742,778
742,2018
742,681
743,125
743,2019
743,2020
744,999
744,681
744,1846
745,2022
745,1016
745,2023
746,2024
746,1434
746,507
747,1417
747,1418
747,1742
748,2026
748,2027
748,2028
749,2029
749,662
749,2030
750,1738
750,675
750,2031
751,1996
751,1018
751,2032
752,1094
752,731
752,2033
753,1018
753,2031
753,13
754,321
754,1357
754,779
755,2036
755,32
755,2037
756,705
756,706
756,707
757,1369
757,85
757,28
