605,Tom Murray,ACTOR
606,Buster Keaton,DIRECTOR
607,Buster Keaton,ACTOR
608,Kathryn McGuire,ACTOR
609,Joe Keaton,ACTOR
610,Céline Sciamma,DIRECTOR
611,Noémie Merlant,ACTOR
612,Adèle Haenel,ACTOR
613,Luàna Bajrami,ACTOR
614,Aniruddha Roy Chowdhury,DIRECTOR
615,Taapsee Pannu,ACTOR
616,Kirti Kulhari,ACTOR
617,Naoko Yamada,DIRECTOR
618,Saori Hayami,ACTOR
619,Aoi Yûki,ACTOR
620,Oriol Paulo,DIRECTOR
621,Mario Casas,ACTOR
622,Ana Wagener,ACTOR
623,Jose Coronado,ACTOR
624,Kim Min-hee,ACTOR
625,Jung-woo Ha,ACTOR
626,Cho Jin-woong,ACTOR
627,Xavier Dolan,DIRECTOR
628,Anne Dorval,ACTOR
629,Antoine Olivier Pilon,ACTOR
630,Suzanne Clément,ACTOR
631,Vishal Bhardwaj,DIRECTOR
632,Shahid Kapoor,ACTOR
633,James Mangold,DIRECTOR
634,Patrick Stewart,ACTOR
635,Dafne Keen,ACTOR
636,Lenny Abrahamson,DIRECTOR
637,Brie Larson,ACTOR
638,Jacob Tremblay,ACTOR
639,Sean Bridgers,ACTOR
640,Damián Szifron,DIRECTOR
641,Darío Grandinetti,ACTOR
642,María Marull,ACTOR
643,Mónica Villa,ACTOR
644,Kemp Powers,ACTOR
645,Tina Fey,ACTOR
646,Nuri Bilge Ceylan,DIRECTOR
647,Haluk Bilginer,ACTOR
648,Melisa Sözen,ACTOR
649,Demet Akbag,ACTOR
650,Anushka Sharma,ACTOR
651,Sanjay Dutt,ACTOR
652,Umesh Shukla,DIRECTOR
653,Mithun Chakraborty,ACTOR
654,Wes Anderson,DIRECTOR
655,Mathieu Amalric,ACTOR
656,Rosamund Pike,ACTOR
657,Neil Patrick Harris,ACTOR
658,Mamoru Hosoda,DIRECTOR
659,Aoi Miyazaki,ACTOR
660,Takao Osawa,ACTOR
661,Haru Kuroki,ACTOR
662,Andrew Garfield,ACTOR
663,Sam Worthington,ACTOR
664,Luke Bracey,ACTOR
665,Ronnie Del Carmen,ACTOR
666,Amy Poehler,ACTOR
667,Bill Hader,ACTOR
668,Anurag Basu,DIRECTOR
669,Ranbir Kapoor,ACTOR
670,Priyanka Chopra,ACTOR
671,Ileana D'Cruz,ACTOR
672,Steve McQueen,DIRECTOR
673,Chiwetel Ejiofor,ACTOR
674,Michael Kenneth Williams,ACTOR
675,Michael Fassbender,ACTOR
676,Daniel Brühl,ACTOR
677,Olivia Wilde,ACTOR
678,Jon Bernthal,ACTOR
679,Tom McCarthy,DIRECTOR
680,Michael Keaton,ACTOR
681,Rachel McAdams,ACTOR
682,Tomm Moore,DIRECTOR
683,David Rawle,ACTOR
684,Brendan Gleeson,ACTOR
685,Lisa Hannigan,ACTOR
686,Sujoy Ghosh,DIRECTOR
687,Vidya Balan,ACTOR
688,Parambrata Chattopadhyay,ACTOR
689,Indraneil Sengupta,ACTOR
690,Zoya Akhtar,DIRECTOR
691,Hrithik Roshan,ACTOR
692,Abhay Deol,ACTOR
693,Jake Gyllenhaal,ACTOR
694,Viola Davis,ACTOR
695,George Miller,DIRECTOR
696,Charlize Theron,ACTOR
697,Nicholas Hoult,ACTOR
698,Neeraj Pandey,DIRECTOR
699,Anupam Kher,ACTOR
700,Naseeruddin Shah,ACTOR
701,Jimmy Sheirgill,ACTOR
702,Bee Vang,ACTOR
703,Christopher Carley,ACTOR
704,David Yates,DIRECTOR
705,Daniel Radcliffe,ACTOR
706,Emma Watson,ACTOR
707,Rupert Grint,ACTOR
708,Yôjirô Takita,DIRECTOR
709,Masahiro Motoki,ACTOR
710,Ryôko Hirosue,ACTOR
711,Tsutomu Yamazaki,ACTOR
712,Lasse Hallström,DIRECTOR
713,Richard Gere,ACTOR
714,Joan Allen,ACTOR
715,Cary-Hiroyuki Tagawa,ACTOR
716,Adam Elliot,DIRECTOR
717,Toni Collette,ACTOR
718,Philip Seymour Hoffman,ACTOR
719,Eric Bana,ACTOR
720,Dean DeBlois,DIRECTOR
721,Chris Sanders,ACTOR
722,Jay Baruchel,ACTOR
723,Gerard Butler,ACTOR
724,Sean Penn,DIRECTOR
725,Emile Hirsch,ACTOR
726,Vince Vaughn,ACTOR
727,Catherine Keener,ACTOR
728,Ethan Coen,DIRECTOR
729,Joel Coen,ACTOR
730,Tommy Lee Jones,ACTOR
731,Javier Bardem,ACTOR
732,Arshad Warsi,ACTOR
733,Hilary Swank,ACTOR
734,Terry George,DIRECTOR
735,Don Cheadle,ACTOR
736,Sophie Okonedo,ACTOR
737,Je-kyu Kang,DIRECTOR
738,Jang Dong-Gun,ACTOR
739,Won Bin,ACTOR
740,Eun-ju Lee,ACTOR
741,Richard Linklater,DIRECTOR
742,Ethan Hawke,ACTOR
743,Julie Delpy,ACTOR
744,Vernon Dobtcheff,ACTOR
745,Gracy Singh,ACTOR
746,Kim Sang-kyung,ACTOR
747,Roe-ha Kim,ACTOR
748,Farhan Akhtar,DIRECTOR
749,Saif Ali Khan,ACTOR
750,Akshaye Khanna,ACTOR
751,David Carradine,ACTOR
752,Daryl Hannah,ACTOR
753,Lee Unkrich,ACTOR
754,Albert Brooks,ACTOR
755,Ellen DeGeneres,ACTOR
756,Christopher Walken,ACTOR
757,Alejandro G. Iñárritu,DIRECTOR
758,Emilio Echevarría,ACTOR
759,Goya Toledo,ACTOR
760,David Silverman,ACTOR
761,Billy Crystal,ACTOR
762,Hideaki Anno,DIRECTOR
763,Kazuya Tsurumaki,ACTOR
764,Megumi Ogata,ACTOR
765,Megumi Hayashibara,ACTOR
766,Raghuvir Yadav,ACTOR
767,M. Night Shyamalan,DIRECTOR
768,Haley Joel Osment,ACTOR
769,Pruitt Taylor Vince,ACTOR
770,Mélanie Thierry,ACTOR
771,Peter Weir,DIRECTOR
772,Laura Linney,ACTOR
773,Bajram Severdzan,ACTOR
774,Srdjan 'Zika' Todorovic,ACTOR
775,Branka Katic,ACTOR
776,Joel Coen,DIRECTOR
777,Ethan Coen,ACTOR
778,Jeff Bridges,ACTOR
779,John Goodman,ACTOR
780,Kar-Wai Wong,DIRECTOR
781,Tony Chiu-Wai Leung,ACTOR
782,Maggie Cheung,ACTOR
783,Ping Lam Siu,ACTOR
784,Danny Boyle,DIRECTOR
785,Ewan McGregor,ACTOR
786,Ewen Bremner,ACTOR
787,Jonny Lee Miller,ACTOR
788,William H. Macy,ACTOR
789,Predrag 'Miki' Manojlovic,ACTOR
790,Lazar Ristovski,ACTOR
791,Mirjana Jokovic,ACTOR
792,Mathieu Kassovitz,DIRECTOR
793,Vincent Cassel,ACTOR
794,Hubert Koundé,ACTOR
795,Saïd Taghmaoui,ACTOR
796,Aditya Chopra,DIRECTOR
