366,Le scaphandre et le papillon,2007,PG-13,8
367,G.O.R.A.,2004,,8
368,Ratatouille,2007,U,8
369,Casino Royale,2006,PG-13,8
370,Kill Bill: Vol. 2,2004,A,8
371,Vozvrashchenie,2003,,8
372,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,8
373,Mar adentro,2014,U,8
374,Cinderella Man,2005,UA,8
375,Kal Ho Naa Ho,2003,U,8
376,Mou gaan dou,2002,UA,8
377,Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,8
378,Big Fish,2003,U,8
379,The Incredibles,2004,U,8
380,Yeopgijeogin geunyeo,2001,,8
381,Dogville,2003,R,8
382,Vizontele,2001,,8
383,Donnie Darko,2001,R,8
384,Magnolia,1999,R,8
385,Dancer in the Dark,2000,U,8
386,The Straight Story,1999,U,8
387,Pâfekuto burû,1997,A,8
388,Festen,1998,R,8
389,Central do Brasil,1998,R,8
390,The Iron Giant,1999,PG,8
391,Knockin' on Heaven's Door,1997,,8
392,Sling Blade,1996,R,8
393,Secrets & Lies,1996,U,8
394,Twelve Monkeys,1995,A,8
395,Kôkaku Kidôtai,1995,UA,8
396,The Nightmare Before Christmas,1993,U,8
397,Groundhog Day,1993,U,8
398,Bound by Honor,1993,R,8
399,Scent of a Woman,1992,UA,8
400,Aladdin,1992,U,8
401,JFK,1991,UA,8
402,Beauty and the Beast,1991,G,8
403,Dances with Wolves,1990,U,8
404,Do the Right Thing,1989,R,8
405,Rain Man,1988,U,8
406,Akira,1988,UA,8
407,The Princess Bride,1987,U,8
408,Der Himmel über Berlin,1987,U,8
409,Au revoir les enfants,1987,U,8
410,Tenkû no shiro Rapyuta,1986,U,8
411,The Terminator,1984,UA,8
412,Gandhi,1982,U,8
413,Kagemusha,1980,U,8
414,Being There,1979,PG,8
415,Annie Hall,1977,A,8
416,Jaws,1975,A,8
417,Dog Day Afternoon,1975,U,8
418,Young Frankenstein,1974,A,8
419,Papillon,1973,R,8
420,The Exorcist,1973,A,8
421,Sleuth,1972,PG,8
422,The Last Picture Show,1971,R,8
423,Fiddler on the Roof,1971,G,8
424,Il conformista,1970,UA,8
425,Butch Cassidy and the Sundance Kid,1969,PG,8
426,Rosemary's Baby,1968,A,8
427,Planet of the Apes,1968,U,8
428,The Graduate,1967,A,8
429,Who's Afraid of Virginia Woolf?,1966,A,8
430,The Sound of Music,1965,U,8
431,Doctor Zhivago,1965,A,8
432,Per un pugno di dollari,1964,A,8
433,8½,1963,,8
434,Vivre sa vie: Film en douze tableaux,1962,,8
435,The Hustler,1961,A,8
436,La dolce vita,1960,A,8
437,Rio Bravo,1959,Passed,8
438,Anatomy of a Murder,1959,,8
439,Touch of Evil,1958,PG-13,8
440,Cat on a Hot Tin Roof,1958,A,8
441,Sweet Smell of Success,1957,Approved,8
442,The Killing,1956,Approved,8
443,The Night of the Hunter,1955,,8
444,La Strada,1954,,8
445,Les diaboliques,1955,,8
446,Stalag 17,1953,,8
447,Roman Holiday,1953,,8
448,A Streetcar Named Desire,1951,A,8
449,In a Lonely Place,1950,,8
450,Kind Hearts and Coronets,1949,U,8
451,Rope,1948,A,8
452,Out of the Past,1947,,8
453,Brief Encounter,1945,U,8
454,Laura,1944,Passed,8
455,The Best Years of Our Lives,1946,Approved,8
456,Arsenic and Old Lace,1942,,8
457,The Maltese Falcon,1941,,8
458,The Grapes of Wrath,1940,Passed,8
459,The Wizard of Oz,1939,U,8
460,La règle du jeu,1939,,8
461,The Thin Man,1934,TV-PG,8
462,All Quiet on the Western Front,1930,U,8
463,Bronenosets Potemkin,1925,,8
464,Knives Out,2019,UA,7.9
465,Dil Bechara,2020,UA,7.9
466,Manbiki kazoku,2018,A,7.9
467,Marriage Story,2019,U,7.9
